Language,Family,Source,A,H,HQ,I,IA,IAHQ,IH,Q,S,SIAHQ,V,VS,VSI,<NA>
Mapudungun,Araucanian,Aikhenvald2004,,,,,,,,,,,,,,
Mari,Uralic,Aikhenvald2004,,,,,,b,,,,,,a,,
Maricopa,Cochimi-Yuman,Aikhenvald2004,,,c,,,,,,b,,a,,,
Megleno-Romanian,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Megrelian,Kartvelian,Aikhenvald2004,,,,,,,,,,a,,,,
Meithei,Sino-Tibetan,Aikhenvald2004,,,,,,,,,a,,,,,
Menomini,Algic,Aikhenvald2004,,,,,,,,a,,,,,,
Miwok,Miwok-Costanoan,Aikhenvald2004,,,,,,,,,,,,,,
Mixtecan,Otomanguean,Aikhenvald2004,,,,,,,,,,,,,,
Moseten,Moseten,Aikhenvald2004,,,c,,b,,,,,,,a,,
Mparntwe Arrente,Pama-Nyungan,Aikhenvald2004,,,a,,,,,,,,,,,
Muna,Austronesian,Aikhenvald2004,,,,,,,,,,,,,,
Myky,Myky,Aikhenvald2004,,,,,,,,,,,,,,
Nadeb,Naduhup,Aikhenvald2004,,,,,,,,,,,,,,
Nax,Nakh-Daghestanian,Aikhenvald2004,,,,,,,,,,,,,,
Nenets,Uralic,Aikhenvald2004,,,,,,,,,,a,,,,
Nepali,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Newari,Sino-Tibetan,Aikhenvald2004,,,,,,,,,,,,,,
Nganasan,Uralic,Aikhenvald2004,,,d,,c,,,,b,,a,,,
Ngiyambaa,Pama-Nyungan,Aikhenvald2004,,,b,,,,,,,,,a,,
Nivkh,Nivkh,Aikhenvald2004,,,,,,,,,,,,,,
Nootka,Wakashan,Aikhenvald2004,,,,,,,,,,,,,,
Northern Embera,Chocoan,Aikhenvald2004,,c,,,b,,,d,,,,a,,
Northern Iroquoian,Iroquoian,Aikhenvald2004,,,,,,,,,,,,,,
Northern Khanty,Uralic,Aikhenvald2004,,,,,,,,,,a,,,,
Northern Samoyedic,Uralic,Aikhenvald2004,,,,,,,,,,,,,,
Nothern Paiute,Uto-Aztecan,Aikhenvald2004,,,,,,,,,,,,,,
Nyangumarta,Pama-Nyungan,Aikhenvald2004,,,,,,,,,,,,,,
Ocotepec Mixtec,Otomanguean,Aikhenvald2004,,,,,,,,,,,,,,
Oksapmin,Nuclear Trans New Guinea,Aikhenvald2004,,,c,,,,,,b,,a,,,
Omaha,Siouan,Aikhenvald2004,,,a,,,,,,,,,,,
Paiute,Uto-Aztecan,Aikhenvald2004,,,,,,,,,,,,,,
Palaic,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Palikur,Arawakan,Aikhenvald2004,,,,,,,,,,,,,,
Panare,Cariban,Aikhenvald2004,,,,,,,,,,,,,,
Pareci,Arawakan,Aikhenvald2004,,,a,,,,,,,,,,,
Patwin,Wintuan,Aikhenvald2004,,,,,,,,,,,,,,
Paumari,Arawan,Aikhenvald2004,,,,,,,,,,,,,,
Pawnee,Caddoan,Aikhenvald2004,c,,d,b,,,,,,,a,,,
Persian,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Piapoco,Arawakan,Aikhenvald2004,,,a,,,,,,,,,,,
Piro,Kiowa-Tanoan,Aikhenvald2004,,,a,,,,,,,,,,,
Ponca,Siouan,Aikhenvald2004,,,c,,b,,,,,,,a,,
Portuguese,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Potawatomi,Algic,Aikhenvald2004,,,a,,,,,,,,,,,
Purepecha,Tarascan,Aikhenvald2004,,,,,,,,,,,,,,
Qiang,Sino-Tibetan,Aikhenvald2004,,,c,,b,,,,,,a,,,
Quechua,Quechuan,Aikhenvald2004,,,c,,b,,,,,,,a,,
Resigaro,Arawakan,Aikhenvald2004,,,a,,,,,,,,,,,
Retuara,Tucanoan,Aikhenvald2004,,,c,,b,,,,,,,a,,
Rio Grande Tewa,Kiowa-Tanoan,Aikhenvald2004,,,,,,,,,,,,,,
Romani,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Romanian,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Russian,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Salar,Turkic,Aikhenvald2004,,,,,,,,,,,,,,
Samoyedic,Uralic,Aikhenvald2004,,,,,,,,,,,,,,
Santali,Austroasiatic,Aikhenvald2004,,,,,,,,,,,,,,
Sanuma,Yanomamic,Aikhenvald2004,,,c,,b,,,,,,,a,,
Secoya,Tucanoan,Aikhenvald2004,,,,,,b,,,,,,a,,
Selkup,Uralic,Aikhenvald2004,,,,,,,,,,,,,,
Semelai,Austroasiatic,Aikhenvald2004,,,,,,,,,,,,,,
Serbian,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Shasta,Shastan,Aikhenvald2004,,,c,,b,,,,,,,a,,
Sherpa,Sino-Tibetan,Aikhenvald2004,,,,,,,,,,,,,,
Shibacha Lisu,Sino-Tibetan,Aikhenvald2004,,,d,,c,,,,b,,a,,,
Shilluk,Nilotic,Aikhenvald2004,,,c,,b,,,,,,,a,,
Shipibo-Konibo,Pano-Tacanan,Aikhenvald2004,c,,d,b,,,,,,,,a,,
Shoshone,Uto-Aztecan,Aikhenvald2004,,,a,,,,,,,,,,,
Siacayoapan Mixtex,Otomanguean,Aikhenvald2004,,,,,,,,,,,,,,
Sierra Miwok,Miwok-Costanoan,Aikhenvald2004,,,,,,,,,,,,,,
Siona,Tucanoan,Aikhenvald2004,,,,,,c,,,b,,a,,,
Siriano,Tucanoan,Aikhenvald2004,,,d,,c,,,,b,,a,,,
Sissala,Atlantic-Congo,Aikhenvald2004,,,a,,,,,,,,,,,
Skidegate Haida,Haida,Aikhenvald2004,,,c,,b,,,,,,,a,,
Slovene,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Sm’algyax,Tsimshian,Aikhenvald2004,,,,,,,,,,,,,,
Sochiapan Chinantec,Otomanguean,Aikhenvald2004,,,,,,,,,,,,,,
Southeastern Tepehuan,Uto-Aztecan,Aikhenvald2004,,c,,,b,,,d,,,,a,,
Southern Nambiquera,Nambiquaran,Aikhenvald2004,c,,d,b,,,,,,,a,,,
Southern Paiute,Uto-Aztecan,Aikhenvald2004,,,,,,,,,,,,,,
Spanish,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Squamish,Salishan,Aikhenvald2004,,,,,,,,,,,,,,
Sunwar,Sino-Tibetan,Aikhenvald2004,,,,,,,,,,,,,,
Surui,Tuplan,Aikhenvald2004,,,a,,,,,,,,,,,
Svan,Kartvelian,Aikhenvald2004,,,,,,,,,,a,,,,
Tajik,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Takelma,Takelma,Aikhenvald2004,,,,,,a,,,,,,,,
Tamil,Dravidian,Aikhenvald2004,,,,,,,,,,,,,,
Tarascan,Tarascan,Aikhenvald2004,,,,,,a,,,,,,,,
Tariana,Arawakan,Aikhenvald2004,d,,e,c,,,,,b,,a,,,
Tatuyo,Tucanoan,Aikhenvald2004,,,d,,c,,,,b,,a,,,
Tauya,Nuclear Trans New Guinea,Aikhenvald2004,,,a,,,,,,,,,,,
Terena,Arawakan,Aikhenvald2004,,,a,,,,,,,,,,,
Tewa,Kiowa-Tanoan,Aikhenvald2004,,,,,,,,,,,,,,
Thai,Tai-Kadai,Aikhenvald2004,,,,,,,,,,,,,,
Thompson,Salishan,Aikhenvald2004,c,,d,b,,,,,,,,a,,
Tibetan,Sino-Tibetan,Aikhenvald2004,,,,,,b,,,,,,a,,
Tikar,Atlantic-Congo,Aikhenvald2004,,,,,,,,,,,,,,
Tonkawa,Tonkawa,Aikhenvald2004,,a,,,,,,b,,,,,,
Trio,Cariban,Aikhenvald2004,,,,,,,,,,,,,,
Tsafiki,Barbacoan,Aikhenvald2004,c,,d,b,,,,,,,a,,,
Tsakhur,Nakh-Daghestanian,Aikhenvald2004,,,,,,,,,,,,,,
Tsez,Nakh-Daghestanian,Aikhenvald2004,,,,,,b,,,,,,a,,
Tsimshian,Tsimshian,Aikhenvald2004,,,,,,,,,,,,,,
Tucano,Tucanoan,Aikhenvald2004,,,d,,c,,,,b,,a,,,
Tunica,Tunica,Aikhenvald2004,,,,,,,,,,,,,,
Turkana,Nilotic,Aikhenvald2004,,,,,,,,,,,,,,
Turkish,Turkic,Aikhenvald2004,,,,,,,,,,a,,,,
Turkmen,Turkic,Aikhenvald2004,,,,,,b,,,,,,a,,
Tuvaluan,Austronesian,Aikhenvald2004,,,,,,,,,,,,,,
Tuvan,Turkic,Aikhenvald2004,,,,,,,,,,,,,,
Tuyuca,Tucanoan,Aikhenvald2004,d,,e,c,,,,,b,,a,,,
Ubykh,Abkhaz-Adyge,Aikhenvald2004,,,,,,,,,,,,,,
Udihe,Tungusic,Aikhenvald2004,,,,,,,,,,,,,,
Udmurt,Uralic,Aikhenvald2004,,,,,,b,,,,,,a,,
Usan,Nuclear Trans New Guinea,Aikhenvald2004,,,,,,,,,,,,,,
Uyghur,Turkic,Aikhenvald2004,,,,,,b,,,,,,a,,
Uzbek,Turkic,Aikhenvald2004,,,,,,b,,,,,,a,,
Vlach Romani,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Wai Wai,Cariban,Aikhenvald2004,,,,,,,,,,,,,,
Wanano,Tucanoan,Aikhenvald2004,,,,,,,,,,,,,,
Warlpiri,Pama-Nyungan,Aikhenvald2004,,,a,,,,,,,,,,,
Warluwarra,Pama-Nyungan,Aikhenvald2004,,,,,,,,,,,,,,
Wasco-Wishram,Chinookan,Aikhenvald2004,,,,,,,,,,,,,,
Washo,Washo,Aikhenvald2004,,,,,c,,,,b,,a,,,
Waura,Arawakan,Aikhenvald2004,,,a,,,,,,,,,,,
Wayana,Cariban,Aikhenvald2004,,,,,,,,,,,,,,
Wayewa,Austronesian,Aikhenvald2004,,,,,,,,,,,,,,
West Greenlandic,Eskimo-Aleut,Aikhenvald2004,,,,,,,,,,,,,,
West Tibetan,Sino-Tibetan,Aikhenvald2004,,,,,,,,,,,,,,
West Tucanoan,Tucanoan,Aikhenvald2004,,,,,,,,,,,,,,
Western Apache,Athabaskan-Eyak-Tlingit,Aikhenvald2004,,,,,,,,,,,,,,
Western Armenian,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Western Turk,Turkic,Aikhenvald2004,,,,,,,,,,,,,,
Wichita,Caddoan,Aikhenvald2004,,,d,c,,,,,b,,a,,,
Wintu,Wintuan,Aikhenvald2004,d,,e,c,,,,,b,,a,,,
Xakas,Turkic,Aikhenvald2004,,,,,,,,,,a,,,,
Xamatauteri,Yanomamic,Aikhenvald2004,c,,d,b,,,,,,,a,,,
Yana,Yana,Aikhenvald2004,,,,,,,,,,,,,,
Yanam,Yanomamic,Aikhenvald2004,,,,,,b,,,,,,a,,
Yankunytjatjara,Pama-Nyungan,Aikhenvald2004,,,a,,,,,,,,,,,
Yavapai,Cochimi-Yuman,Aikhenvald2004,,,,,,,,,,,,,,
Yokuts,Youkutsan,Aikhenvald2004,,,,,,,,,,,,,,
Yoruba,Atlantic-Congo,Aikhenvald2004,,,,,,,,,,,,,,
Yosondua Mixtec,Otomanguean,Aikhenvald2004,,,,,,,,,,,,,,
Yucatec Maya,Mayan,Aikhenvald2004,,,,,,,,,,,,,,
Yuchi,Yuchi,Aikhenvald2004,,,,,,,,,,,,,,
Yucuna,Arawakan,Aikhenvald2004,,,,,,,,,,,,,,
Yuhup,Naduhup,Aikhenvald2004,,,,,,,,,,,,,,
Yukaghir,Yukaghir,Aikhenvald2004,,,,,,b,,,,,,a,,
Yupik,Eskimo-Aleut,Aikhenvald2004,,,,,,,,,,,,,,
Zazaki,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
